Original,Changes,,,,,,,,,,,,,,,,,,,,,,,
Game Overview,k,,,,,,,,,,,,,,,,,,,,,,,
After registration you start on a tiny planet in one of the many star systems in the galaxy.,k,,,,,,,,,,,,,,,,,,,,,,,
"You begin by building up your planet, then you can colonize uninhabited planets expanding your empire.",k,,,,,,,,,,,,,,,,,,,,,,,
"Once you think your fleet is strong enough, you can engage in battles with other players and take over their planets!",k,,,,,,,,,,,,,,,,,,,,,,,
You'll need to plan carefully and use diplomacy to help you in order to succeed in this competition with thousands of players from all over the world!,k,,,,,,,,,,,,,,,,,,,,,,,
Game Objective,k,,,,,,,,,,,,,,,,,,,,,,,
"Expansion of your own space empire and/or the supremacy of your own alliance by means of war, diplomacy and planet development.",k,,,,,,,,,,,,,,,,,,,,,,,
"As you colonize further planets, your total points will increase and your level of development and ranking will improve.",k,,,,,,,,,,,,,,,,,,,,,,,
"The winner is the first player to reach or exceed 500 points for a total of seven days, or the first alliance to reach or exceed 360 points for a total of three days. See Countdown for more details.",400 over 5 days and 300 over 3 days,,,,,,,,,,,,,,,,,,,,,,,
System Requirements,k,,,,,,,,,,,,,,,,,,,,,,,
"Astro Wars runs in real-time and is web-based, so you can play from anywhere with no installation, as long as you have a web browser and an internet connection.",k,,,,,,,,,,,,,,,,,,,,,,,
The game also has a WAP interface. Rounds can last for up to three months.,"no WAP. 3-4 months probably, no idea",,,,,,,,,,,,,,,,,,,,,,,
Astro Wars Intro,k,,,,,,,,,,,,,,,,,,,,,,,
Mission Statement,k,,,,,,,,,,,,,,,,,,,,,,,
Astro Wars wants to achieve:,k,,,,,,,,,,,,,,,,,,,,,,,
fair play.,k,,,,,,,,,,,,,,,,,,,,,,,
communication between players.,k,,,,,,,,,,,,,,,,,,,,,,,
social interaction between players.,k,,,,,,,,,,,,,,,,,,,,,,,
epic battles in the end.,k,,,,,,,,,,,,,,,,,,,,,,,
a game requiring strategic and diplomatic skills to win.,k,,,,,,,,,,,,,,,,,,,,,,,
easy to learn and interesting in the long run.,k,,,,,,,,,,,,,,,,,,,,,,,
Astro Wars does not want to achieve:,k,,,,,,,,,,,,,,,,,,,,,,,
multis and cheaters.,k,,,,,,,,,,,,,,,,,,,,,,,
no communication.,k,,,,,,,,,,,,,,,,,,,,,,,
a big single player game where the only interaction is to compare points.,k,,,,,,,,,,,,,,,,,,,,,,,
all about the first player/alliance to win.,k,,,,,,,,,,,,,,,,,,,,,,,
a game where a single player with perfect build up skills can win with no contacts.,k,,,,,,,,,,,,,,,,,,,,,,,
difficult to learn and becomes boring.,k,,,,,,,,,,,,,,,,,,,,,,,
Game Objective,k,,,,,,,,,,,,,,,,,,,,,,,
"Expansion of your own space empire and/or the supremacy of your own alliance by means of war, diplomacy and planet development. As you colonise further planets, so your total points will increase and your level of development and ranking will improve. The winner is the first player to reach or exceed 500 points for a total of seven days, or the first alliance to reach or exceed 360 points for a total of three days. See Countdown for more details.","400 over 5 days and 250 over 3 days
",,,,,,,,,,,,,,,,,,,,,,,
Glossary,k,,,,,,,,,,,,,,,,,,,,,,,
Alliance,k,,,,,,,,,,,,,,,,,,,,,,,
"If you have at least Player Level 1, fewer than 200 Points and A$ 8000 to spare you can create an alliance. To do this click the Alliance tab next to the Trade Screen tab and enter your chosen alliance tag, up to four characters in length.","dont know about points, but price is 1000",,,,,,,,,,,,,,,,,,,,,,,
